Calculation1,School,City,County/State/Country,App GPA,Adm GPA,Enrl GPA
ALLIANCE TED K TAJIMA HIGH SCH054513,ALLIANCE TED K TAJIMA HIGH SCH,Los Angeles,Los Angeles,3.6,3.67,3.62
ALLIANCE TENNENBAUM FAMILY TECH HS054527,ALLIANCE TENNENBAUM FAMILY TECH HS,Los Angeles,Los Angeles,3.53,3.67,
ALPHA CINDY AVITIA HIGH SCHOOL054869,ALPHA CINDY AVITIA HIGH SCHOOL,San Jose,Santa Clara,3.6,3.62,3.7
ALTA LOMA HIGH SCHOOL050077,ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,3.74,3.85,3.82
ALTA VISTA ALTERNATIVE HS054462,ALTA VISTA ALTERNATIVE HS,Santa Barbara,Santa Barbara,4.05,4.1,
ALTERNATIVES IN ACTION HS050013,ALTERNATIVES IN ACTION HS,Oakland,Alameda,3.12,3.74,
AMADOR HIGH SCHOOL053480,AMADOR HIGH SCHOOL,Sutter Creek,Amador,3.98,4.21,
AMADOR VALLEY HIGH SCHOOL052495,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,3.76,3.85,3.86
AMBASSADOR SCHL GLOBAL LDRSHP051776,AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,3.51,3.68,3.85
AMERICAN CANYON HIGH SCHOOL054406,AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,3.84,3.95,3.98
AMERICAN HIGH SCHOOL050974,AMERICAN HIGH SCHOOL,Fremont,Alameda,3.81,3.89,3.92
AMERICAN INDIAN PUBLIC SCHOOL054176,AMERICAN INDIAN PUBLIC SCHOOL,Oakland,Alameda,3.9,4.03,4.18
AMOS ALONZO STAGG HIGH SCHOOL053442,AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,3.65,3.92,3.98
ANAHEIM HIGH SCHOOL050090,ANAHEIM HIGH SCHOOL,Anaheim,Orange,3.54,3.73,3.84
ANAHUACALMECAC INTRL UNIV PREP054332,ANAHUACALMECAC INTRL UNIV PREP,Los Angeles,Los Angeles,4.01,4.01,
ANALY HIGH SCHOOL053345,ANALY HIGH SCHOOL,Sebastopol,Sonoma,3.94,4.03,4.15
ANDERSON UNION HIGH SCHOOL050095,ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,3.8,,
ANDREW P HILL HIGH SCHOOL053077,ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,3.72,3.86,3.98
ANGELO RODRIGUEZ HIGH SCHOOL050919,ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,3.88,4.05,4.11
ANIMO COLLEGE PREP ACADEMY054569,ANIMO COLLEGE PREP ACADEMY,Los Angeles,Los Angeles,3.58,3.7,
ANIMO INGLEWOOD CHARTER HS051255,ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles,3.69,3.8,3.92
ANIMO JACKIE ROBINSON CHRT SCH054199,ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,3.78,3.85,3.91
ANIMO LEADERSHIP CHARTER HS051257,ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,3.67,3.71,3.78
ANIMO PAT BROWN CHARTER HS054238,ANIMO PAT BROWN CHARTER HS,Los Angeles,Los Angeles,3.52,3.56,3.8
ANIMO RALPH BUNCHE CHARTER HS054259,ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,3.7,3.76,3.89
ANIMO S LOS ANGELES CHARTER HS053975,ANIMO S LOS ANGELES CHARTER HS,Los Angeles,Los Angeles,3.64,3.85,3.87
ANIMO VENICE CHARTER HS054069,ANIMO VENICE CHARTER HS,Venice,Los Angeles,3.22,3.64,3.83
ANIMO WATTS COLLGE PREP ACDMY054283,ANIMO WATTS COLLGE PREP ACDMY,Los Angeles,Los Angeles,3.47,3.78,3.82
ANN SOBRATO HIGH SCHOOL053906,ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,3.99,4.04,4.07
ANTELOPE HIGH SCHOOL054250,ANTELOPE HIGH SCHOOL,Antelope,Sacramento,3.99,4.04,4.11
ANTELOPE VALLEY HIGH SCHOOL051355,ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,3.37,3.74,3.96
ANTIOCH HIGH SCHOOL050115,ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,3.77,3.97,4.03
ANZAR HIGH SCHOOL053133,ANZAR HIGH SCHOOL,San Juan Bautista,San Benito,3.9,4.01,
APEX ACADEMY HIGH SCHOOL054291,APEX ACADEMY HIGH SCHOOL,Los Angeles,Los Angeles,3.58,,
APPLE VALLEY HIGH SCHOOL050118,APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,3.92,4.03,4.14
APPLIED TECHNOLOGY CENTER054607,APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,3.66,3.74,3.86
APTOS HIGH SCHOOL050119,APTOS HIGH SCHOOL,Aptos,Santa Cruz,3.89,4.05,4.14
ARAGON HIGH SCHOOL053163,ARAGON HIGH SCHOOL,San Mateo,San Mateo,3.87,3.95,4.07
ARCADIA HIGH SCHOOL050130,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,3.82,3.9,3.92
ARCATA HIGH SCHOOL050135,ARCATA HIGH SCHOOL,Arcata,Humboldt,4.05,4.07,4.08
ARGONAUT HIGH SCHOOL051275,ARGONAUT HIGH SCHOOL,Jackson,Amador,3.93,3.99,
ARISE HIGH SCHOOL054258,ARISE HIGH SCHOOL,Oakland,Alameda,3.35,3.63,
ARLETA HIGH SCHOOL050068,ARLETA HIGH SCHOOL,Arleta,Los Angeles,3.58,3.72,3.68
ARLINGTON HIGH SCHOOL052658,ARLINGTON HIGH SCHOOL,Riverside,Riverside,3.72,3.83,3.95
ARMIJO HIGH SCHOOL050910,ARMIJO HIGH SCHOOL,Fairfield,Solano,3.89,4.01,4.08
ARNOLD O BECKMAN HIGH SCHOOL051267,ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,3.91,4,4.05
ARROYO GRANDE HIGH SCHOOL050150,ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,4.01,4.09,4.09
ARROYO HIGH SCHOOL050830,ARROYO HIGH SCHOOL,El Monte,Los Angeles,3.65,3.75,3.89
ARROYO HIGH SCHOOL053125,ARROYO HIGH SCHOOL,San Lorenzo,Alameda,3.87,3.93,4.07
ARROYO VALLEY HIGH SCHOOL052948,ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,3.61,3.79,3.79
ARTESIA HIGH SCHOOL050155,ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,3.64,3.85,4.12
ARVIN HIGH SCHOOL050160,ARVIN HIGH SCHOOL,Arvin,Kern,3.73,3.87,3.93
ASPIRE BENJAMIN HOLT COLG PREP053843,ASPIRE BENJAMIN HOLT COLG PREP,Stockton,San Joaquin,3.98,4,3.96
ASPIRE GOLDEN STATE PREP ACADEMY054260,ASPIRE GOLDEN STATE PREP ACADEMY,Oakland,Alameda,3.3,3.5,3.68
ASPIRE LANGSTON HUGHES ACADEMY054460,ASPIRE LANGSTON HUGHES ACADEMY,Stockton,San Joaquin,3.7,3.86,3.97
ASPIRE LIONEL WILSON COLG PREP051761,ASPIRE LIONEL WILSON COLG PREP,Oakland,Alameda,3.55,3.8,3.87
ASPIRE OLLIN UNIV PREP ACDMY054735,ASPIRE OLLIN UNIV PREP ACDMY,Huntington Park,Los Angeles,3.53,3.61,3.82
ASPIRE PACIFIC ACADEMY051214,ASPIRE PACIFIC ACADEMY,Huntington Park,Los Angeles,3.82,3.87,3.95
ASPIRE RICHMOND CA COLG PREP054847,ASPIRE RICHMOND CA COLG PREP,Richmond,Contra Costa,3.45,3.49,3.62
ASPIRE VANGUARD COL PREP ACAD054446,ASPIRE VANGUARD COL PREP ACAD,Modesto,Stanislaus,3.97,3.97,4.11
ASSURANCE LEARNING ACADEMY054765,ASSURANCE LEARNING ACADEMY,Lancaster,Los Angeles,3.29,,
ATASCADERO HIGH SCHOOL050165,ATASCADERO HIGH SCHOOL,Atascadero,San Luis Obispo,3.94,4.09,
ATWATER HIGH SCHOOL050172,ATWATER HIGH SCHOOL,Atwater,Merced,3.7,3.8,3.82
AVALON HIGH SCHOOL050180,AVALON HIGH SCHOOL,Avalon,Los Angeles,4.02,,
AVENAL HIGH SCHOOL050185,AVENAL HIGH SCHOOL,Avenal,Kings,3.63,3.74,3.89
AVESON GLOBAL LEADERSHIP ACAD050162,AVESON GLOBAL LEADERSHIP ACAD,Altadena,Los Angeles,3.94,3.99,3.95
AZUSA HIGH SCHOOL050188,AZUSA HIGH SCHOOL,Azusa,Los Angeles,3.52,3.81,3.89
BAKERSFIELD HIGH SCHOOL050205,BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern,3.57,3.77,3.82
BALBOA HIGH SCHOOL052916,BALBOA HIGH SCHOOL,San Francisco,San Francisco,3.84,3.97,4.09
BALDWIN PARK HIGH SCHOOL050225,BALDWIN PARK HIGH SCHOOL,Baldwin Park,Los Angeles,3.65,3.83,4.02
BANNING HIGH SCHOOL050230,BANNING HIGH SCHOOL,Banning,Riverside,3.59,3.89,3.91
BARSTOW HIGH SCHOOL050235,BARSTOW HIGH SCHOOL,Barstow,San Bernardino,3.74,3.85,
BASSETT HIGH SCHOOL050238,BASSETT HIGH SCHOOL,La Puente,Los Angeles,3.55,3.68,3.82
BAYFRONT CHARTER HIGH SCHOOL054777,BAYFRONT CHARTER HIGH SCHOOL,Chula Vista,San Diego,3.73,3.77,3.72
BEAR CREEK HIGH SCHOOL053436,BEAR CREEK HIGH SCHOOL,Stockton,San Joaquin,3.77,3.84,3.9
BEAR RIVER HIGH SCHOOL051092,BEAR RIVER HIGH SCHOOL,Grass Valley,Nevada,4.03,4.19,4.2
BEAUMONT HIGH SCHOOL050240,BEAUMONT HIGH SCHOOL,Beaumont,Riverside,3.86,4.02,4.13
BELL GARDENS SENIOR HS050265,BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles,3.6,3.76,3.89
BELL HIGH SCHOOL050245,BELL HIGH SCHOOL,Bell,Los Angeles,3.75,3.86,4
BELLA VISTA HIGH SCHOOL050912,BELLA VISTA HIGH SCHOOL,Fair Oaks,Sacramento,3.94,4.03,4.12
BELLFLOWER HIGH SCHOOL050255,BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,3.68,3.78,3.87
BELMONT HIGH SCHOOL051540,BELMONT HIGH SCHOOL,Los Angeles,Los Angeles,3.94,4.11,4.14
BENICIA HIGH SCHOOL050280,BENICIA HIGH SCHOOL,Benicia,Solano,3.95,4.04,4.13
BENJAMIN FRANKLIN HIGH SCHOOL051550,BENJAMIN FRANKLIN HIGH SCHOOL,Los Angeles,Los Angeles,3.67,3.83,3.83
BERKELEY HIGH SCHOOL050290,BERKELEY HIGH SCHOOL,Berkeley,Alameda,3.92,3.99,4.03
BERT CORONA CHARTER HIGH SCHL050293,BERT CORONA CHARTER HIGH SCHL,Pacoima,Los Angeles,3.59,3.82,
BEVERLY HILLS HIGH SCHOOL050320,BEVERLY HILLS HIGH SCHOOL,Beverly Hills,Los Angeles,3.8,3.89,3.93
BIG BEAR HIGH SCHOOL050330,BIG BEAR HIGH SCHOOL,Big Bear Lake,San Bernardino,4.09,4.11,4.2
BIRMINGHAM COMMUNITY HS053615,BIRMINGHAM COMMUNITY HS,Lake Balboa,Los Angeles,3.54,3.71,3.76
BISHOP UNION HIGH SCHOOL050345,BISHOP UNION HIGH SCHOOL,Bishop,Inyo,3.82,3.91,3.86
BLAIR HIGH SCHOOL052373,BLAIR HIGH SCHOOL,Pasadena,Los Angeles,3.54,3.73,4.03
BLOOMINGTON HIGH SCHOOL050348,BLOOMINGTON HIGH SCHOOL,Bloomington,San Bernardino,3.41,3.55,3.76
BLUE RIDGE ACADEMY052152,BLUE RIDGE ACADEMY,Maricopa,Kern,4,4.13,
BOLSA GRANDE HIGH SCHOOL051028,BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange,3.65,3.77,3.87
BONITA HIGH SCHOOL051370,BONITA HIGH SCHOOL,La Verne,Los Angeles,3.93,4.05,4.16
BONITA VISTA HIGH SCHOOL050572,BONITA VISTA HIGH SCHOOL,Chula Vista,San Diego,3.81,3.97,4.06
BONSALL HIGH SCHOOL054793,BONSALL HIGH SCHOOL,Bonsall,San Diego,4.14,4.17,4.25
BORREGO SPRINGS HIGH SCHOOL050363,BORREGO SPRINGS HIGH SCHOOL,Borrego Springs,San Diego,3.64,,
BRANHAM HIGH SCHOOL053082,BRANHAM HIGH SCHOOL,San Jose,Santa Clara,3.97,4.03,4.08
BRAWLEY UNION HIGH SCHOOL050365,BRAWLEY UNION HIGH SCHOOL,Brawley,Imperial,3.86,4.02,4.02
BREA OLINDA HIGH SCHOOL050370,BREA OLINDA HIGH SCHOOL,Brea,Orange,3.85,3.95,3.94
BRET HARTE UNION HIGH SCHOOL050100,BRET HARTE UNION HIGH SCHOOL,Altaville,Calaveras,4.01,4.07,3.9
BRIGHT STAR SECONDARY ACADEMY054207,BRIGHT STAR SECONDARY ACADEMY,Los Angeles,Los Angeles,3.62,3.68,3.78
BUCKINGHAM COLLEGIATE CHR ACDM053596,BUCKINGHAM COLLEGIATE CHR ACDM,Vacaville,Solano,3.85,4.07,4.09
BUENA HIGH SCHOOL053647,BUENA HIGH SCHOOL,Ventura,Ventura,3.7,3.94,4.11
BUENA PARK HIGH SCHOOL050378,BUENA PARK HIGH SCHOOL,Buena Park,Orange,3.81,3.97,4.01
BUHACH COLONY HIGH SCHOOL050181,BUHACH COLONY HIGH SCHOOL,Atwater,Merced,3.8,3.96,4.02
BULLARD HIGH SCHOOL050973,BULLARD HIGH SCHOOL,Fresno,Fresno,3.98,4.05,4.06
BURBANK INDEPENDENT LEARNING050057,BURBANK INDEPENDENT LEARNING,Burbank,Los Angeles,3.31,,
BURBANK SENIOR HIGH SCHOOL050385,BURBANK SENIOR HIGH SCHOOL,Burbank,Los Angeles,3.89,4,4.07
BURLINGAME HIGH SCHOOL050410,BURLINGAME HIGH SCHOOL,Burlingame,San Mateo,3.95,4.02,4.06
C K MCCLATCHY HIGH SCHOOL052705,C K MCCLATCHY HIGH SCHOOL,Sacramento,Sacramento,3.82,3.95,4.03
CA SCH ARTS SAN GABRIEL VALLEY052210,CA SCH ARTS SAN GABRIEL VALLEY,Duarte,Los Angeles,3.82,4.02,4.03
CABRILLO HIGH SCHOOL051450,CABRILLO HIGH SCHOOL,Lompoc,Santa Barbara,3.78,3.97,3.83
CABRILLO POINT ACADEMY052138,CABRILLO POINT ACADEMY,El Cajon,San Diego,4.09,,
CAJON HIGH SCHOOL052773,CAJON HIGH SCHOOL,San Bernardino,San Bernardino,3.69,3.89,3.93
CALABASAS HIGH SCHOOL050421,CALABASAS HIGH SCHOOL,Calabasas,Los Angeles,3.9,4.02,4.09
CALAVERAS HIGH SCHOOL052760,CALAVERAS HIGH SCHOOL,San Andreas,Calaveras,3.82,3.84,
CALERO HIGH SCHOOL054715,CALERO HIGH SCHOOL,San Jose,Santa Clara,3.29,,
CALEXICO HIGH SCHOOL050425,CALEXICO HIGH SCHOOL,Calexico,Imperial,3.8,3.95,3.98
CALIFORNIA ACAD MATH & SCIENCE050491,CALIFORNIA ACAD MATH & SCIENCE,Carson,Los Angeles,3.99,4.08,4.14
CALIFORNIA CITY HIGH SCHOOL054348,CALIFORNIA CITY HIGH SCHOOL,California City,Kern,3.95,4.16,
CALIFORNIA CONNCT ACDMY S CAL054092,CALIFORNIA CONNCT ACDMY S CAL,San Juan Capistrano,Orange,3.89,4.01,4.05
CALIFORNIA CONNECTIONS RIPON054643,CALIFORNIA CONNECTIONS RIPON,Ripon,San Joaquin,3.58,4.06,4.15
CALIFORNIA HIGH SCHOOL053229,CALIFORNIA HIGH SCHOOL,San Ramon,Contra Costa,3.91,3.99,4.03
CALIFORNIA HIGH SCHOOL053755,CALIFORNIA HIGH SCHOOL,Whittier,Los Angeles,3.87,3.97,4.07
CALIFORNIA MILITARY INSTITUTE054173,CALIFORNIA MILITARY INSTITUTE,Perris,Riverside,3.41,3.8,4.02
CALIFORNIA PREPARATORY ACADEMY054521,CALIFORNIA PREPARATORY ACADEMY,San Juan Capistrano,Orange,3.76,,
CALIFORNIA VIRTUAL ACAD SUTTER054272,CALIFORNIA VIRTUAL ACAD SUTTER,Simi Valley,Ventura,3.63,,
CALIFORNIA VIRTUAL ACADEMY LA054271,CALIFORNIA VIRTUAL ACADEMY LA,Simi Valley,Ventura,3.68,3.94,
CALIFORNIA VIRTUAL ACADEMY SD054270,CALIFORNIA VIRTUAL ACADEMY SD,Simi Valley,Ventura,3.85,3.99,
CALIFORNIA VIRTUAL ACADEMY SM054276,CALIFORNIA VIRTUAL ACADEMY SM,Simi Valley,Ventura,3.76,4.01,
