Calculation1,School,City,County/State/ Territory,Count,All,Female,Male,Unknown
LOS ALAMOS HIGH SCHOOL320405,LOS ALAMOS HIGH SCHOOL,Los Alamos,NM,App,44,24,20,
LOS ALAMOS HIGH SCHOOL320405,LOS ALAMOS HIGH SCHOOL,Los Alamos,NM,Adm,29,15,14,
LOS ALAMOS HIGH SCHOOL320405,LOS ALAMOS HIGH SCHOOL,Los Alamos,NM,Enr,12,5,7,
LOUIS D BRANDEIS HIGH SCHOOL446254,LOUIS D BRANDEIS HIGH SCHOOL,San Antonio,TX,App,10,7,,
LOUIS D BRANDEIS HIGH SCHOOL446254,LOUIS D BRANDEIS HIGH SCHOOL,San Antonio,TX,Adm,7,4,3,
LOUIS D BRANDEIS HIGH SCHOOL446254,LOUIS D BRANDEIS HIGH SCHOOL,San Antonio,TX,Enr,4,3,,
LOVEJOY HIGH SCHOOL444368,LOVEJOY HIGH SCHOOL,Lucas,TX,App,12,5,7,
LOVEJOY HIGH SCHOOL444368,LOVEJOY HIGH SCHOOL,Lucas,TX,Adm,5,,3,
LOVELAND HIGH SCHOOL60950,LOVELAND HIGH SCHOOL,Loveland,CO,Adm,3,3,,
LOWER MERION HIGH SCHOOL390105,LOWER MERION HIGH SCHOOL,Ardmore,PA,App,19,9,10,
LOWER MERION HIGH SCHOOL390105,LOWER MERION HIGH SCHOOL,Ardmore,PA,Adm,10,6,4,
LOYOLA ACADEMY144403,LOYOLA ACADEMY,Wilmette,IL,App,15,5,10,
LOYOLA ACADEMY144403,LOYOLA ACADEMY,Wilmette,IL,Adm,8,4,4,
LSU LABORATORY SCHOOL190245,LSU LABORATORY SCHOOL,Baton Rouge,LA,Adm,4,,,
LUBBOCK HIGH SCHOOL444360,LUBBOCK HIGH SCHOOL,Lubbock,TX,App,7,,,
LUBBOCK HIGH SCHOOL444360,LUBBOCK HIGH SCHOOL,Lubbock,TX,Adm,3,,,
LUTHERAN HIGH SCHOOL60417,LUTHERAN HIGH SCHOOL,Parker,CO,Adm,3,,,
LYCEE FRANCAIS DE CHICAGO140996,LYCEE FRANCAIS DE CHICAGO,Chicago,IL,App,10,7,,
LYCEE FRANCAIS DE CHICAGO140996,LYCEE FRANCAIS DE CHICAGO,Chicago,IL,Adm,9,6,3,
LYCEE FRANCAIS DE CHICAGO140996,LYCEE FRANCAIS DE CHICAGO,Chicago,IL,Enr,4,,,
LYCEE FRANCAIS DE NEW YORK333760,LYCEE FRANCAIS DE NEW YORK,New York,NY,App,14,7,7,
LYCEE FRANCAIS DE NEW YORK333760,LYCEE FRANCAIS DE NEW YORK,New York,NY,Adm,7,4,3,
LYNBROOK SENIOR HIGH SCHOOL332935,LYNBROOK SENIOR HIGH SCHOOL,Lynbrook,NY,Adm,3,3,,
LYONS TOWNSHIP HIGH SCHOOL142483,LYONS TOWNSHIP HIGH SCHOOL,La Grange,IL,App,18,12,6,
LYONS TOWNSHIP HIGH SCHOOL142483,LYONS TOWNSHIP HIGH SCHOOL,La Grange,IL,Adm,13,7,6,
MACDUFFIE SCHOOL222045,MACDUFFIE SCHOOL,Granby,MA,App,17,,13,
MACDUFFIE SCHOOL222045,MACDUFFIE SCHOOL,Granby,MA,Adm,13,4,9,
MACDUFFIE SCHOOL222045,MACDUFFIE SCHOOL,Granby,MA,Enr,4,,3,
MADEIRA SCHOOL THE470985,MADEIRA SCHOOL THE,Mclean,VA,App,22,22,,
MADEIRA SCHOOL THE470985,MADEIRA SCHOOL THE,Mclean,VA,Adm,19,19,,
MADEIRA SCHOOL THE470985,MADEIRA SCHOOL THE,Mclean,VA,Enr,5,5,,
MADISON COUNTRY DAY SCHOOL502396,MADISON COUNTRY DAY SCHOOL,Waunakee,WI,App,5,,,
MADISON COUNTRY DAY SCHOOL502396,MADISON COUNTRY DAY SCHOOL,Waunakee,WI,Adm,3,,,
MADISON HIGH SCHOOL310740,MADISON HIGH SCHOOL,Madison,NJ,App,10,7,,
MADISON HIGH SCHOOL310740,MADISON HIGH SCHOOL,Madison,NJ,Adm,5,4,,
MAGGIE L WALKER GOVERNORS SCHL471851,MAGGIE L WALKER GOVERNORS SCHL,Richmond,VA,App,10,6,,
MAGGIE L WALKER GOVERNORS SCHL471851,MAGGIE L WALKER GOVERNORS SCHL,Richmond,VA,Adm,7,6,,
MAHOPAC HIGH SCHOOL332975,MAHOPAC HIGH SCHOOL,Mahopac,NY,App,5,,,
MAHOPAC HIGH SCHOOL332975,MAHOPAC HIGH SCHOOL,Mahopac,NY,Adm,4,3,,
MAINE CENTRAL INSTITUTE200795,MAINE CENTRAL INSTITUTE,Pittsfield,ME,Adm,3,,,
MAINE TOWNSHIP HS SOUTH143377,MAINE TOWNSHIP HS SOUTH,Park Ridge,IL,App,15,8,7,
MAINE TOWNSHIP HS SOUTH143377,MAINE TOWNSHIP HS SOUTH,Park Ridge,IL,Adm,10,4,6,
MAINLAND REGIONAL HIGH SCHOOL310698,MAINLAND REGIONAL HIGH SCHOOL,Linwood,NJ,App,5,,,
MAINLAND REGIONAL HIGH SCHOOL310698,MAINLAND REGIONAL HIGH SCHOOL,Linwood,NJ,Adm,5,,4,
MAINLAND REGIONAL HIGH SCHOOL310698,MAINLAND REGIONAL HIGH SCHOOL,Linwood,NJ,Enr,3,,,
MALDEN CATHOLIC HIGH SCHOOL221290,MALDEN CATHOLIC HIGH SCHOOL,Malden,MA,App,7,,7,
MALDEN CATHOLIC HIGH SCHOOL221290,MALDEN CATHOLIC HIGH SCHOOL,Malden,MA,Adm,7,,7,
MALDEN CATHOLIC HIGH SCHOOL221290,MALDEN CATHOLIC HIGH SCHOOL,Malden,MA,Enr,4,,4,
MALVERN PREPARATORY SCHOOL392365,MALVERN PREPARATORY SCHOOL,Malvern,PA,App,7,,7,
MALVERN PREPARATORY SCHOOL392365,MALVERN PREPARATORY SCHOOL,Malvern,PA,Adm,6,,6,
MAMARONECK HIGH SCHOOL332995,MAMARONECK HIGH SCHOOL,Mamaroneck,NY,App,11,,7,
MAMARONECK HIGH SCHOOL332995,MAMARONECK HIGH SCHOOL,Mamaroneck,NY,Adm,6,,4,
MANALAPAN HIGH SCHOOL310367,MANALAPAN HIGH SCHOOL,Manalapan,NJ,App,7,,7,
MANALAPAN HIGH SCHOOL310367,MANALAPAN HIGH SCHOOL,Manalapan,NJ,Adm,3,,3,
MANHASSET HIGH SCHOOL333010,MANHASSET HIGH SCHOOL,Manhasset,NY,App,21,8,12,
MANHASSET HIGH SCHOOL333010,MANHASSET HIGH SCHOOL,Manhasset,NY,Adm,10,4,6,
MANHATTAN HIGH SCHOOL171895,MANHATTAN HIGH SCHOOL,Manhattan,KS,App,10,5,5,
MANHATTAN HIGH SCHOOL171895,MANHATTAN HIGH SCHOOL,Manhattan,KS,Adm,9,4,5,
MANHATTAN HUNTER SCIENCE HS333785,MANHATTAN HUNTER SCIENCE HS,New York,NY,Adm,3,,,
MANLIUS PEBBLE HILL SCHOOL333025,MANLIUS PEBBLE HILL SCHOOL,Syracuse,NY,App,6,,,
MANLIUS PEBBLE HILL SCHOOL333025,MANLIUS PEBBLE HILL SCHOOL,Syracuse,NY,Adm,6,,4,
MANLIUS PEBBLE HILL SCHOOL333025,MANLIUS PEBBLE HILL SCHOOL,Syracuse,NY,Enr,3,,,
MARANATHA CHRISTIAN ACADEMY240267,MARANATHA CHRISTIAN ACADEMY,Brooklyn Park,MN,Adm,4,,,
MARBLEHEAD HIGH SCHOOL221325,MARBLEHEAD HIGH SCHOOL,Marblehead,MA,App,10,7,,
MARBLEHEAD HIGH SCHOOL221325,MARBLEHEAD HIGH SCHOOL,Marblehead,MA,Adm,8,5,3,
MARBLEHEAD HIGH SCHOOL221325,MARBLEHEAD HIGH SCHOOL,Marblehead,MA,Enr,4,,,
MARIAN HIGH SCHOOL230332,MARIAN HIGH SCHOOL,Bloomfield Hills,MI,Adm,3,3,,
MARIAN HIGH SCHOOL281718,MARIAN HIGH SCHOOL,Omaha,NE,Adm,3,3,,
MARIANAPOLIS PREP SCHOOL70780,MARIANAPOLIS PREP SCHOOL,Thompson,CT,App,15,6,9,
MARIANAPOLIS PREP SCHOOL70780,MARIANAPOLIS PREP SCHOOL,Thompson,CT,Adm,9,4,5,
