Calculation1,School,City,County/State/ Territory,Count,All,Female,Male,Unknown
A & M CONSOLIDATED HIGH SCHOOL441400,A & M CONSOLIDATED HIGH SCHOOL,College Station,TX,App,9,6,,
A & M CONSOLIDATED HIGH SCHOOL441400,A & M CONSOLIDATED HIGH SCHOOL,College Station,TX,Adm,8,5,3,
ABINGTON FRIENDS SCHOOL391915,ABINGTON FRIENDS SCHOOL,Jenkintown,PA,App,5,,,
ABINGTON FRIENDS SCHOOL391915,ABINGTON FRIENDS SCHOOL,Jenkintown,PA,Adm,5,,3,
ACAD MATH SCIENCE ENGINEERING310274,ACAD MATH SCIENCE ENGINEERING,Denville,NJ,App,12,,9,
ACAD MATH SCIENCE ENGINEERING310274,ACAD MATH SCIENCE ENGINEERING,Denville,NJ,Adm,6,,5,
ACADEMIC MAGNET HIGH SCHOOL410356,ACADEMIC MAGNET HIGH SCHOOL,North Charleston,SC,App,17,12,5,
ACADEMIC MAGNET HIGH SCHOOL410356,ACADEMIC MAGNET HIGH SCHOOL,North Charleston,SC,Adm,16,11,5,
ACADEMIC MAGNET HIGH SCHOOL410356,ACADEMIC MAGNET HIGH SCHOOL,North Charleston,SC,Enr,3,,,
ACADEMY AT THE LAKES100922,ACADEMY AT THE LAKES,Land O Lakes,FL,Adm,4,3,,
ACADEMY NEW CHURCH BOYS SCHOOL390475,ACADEMY NEW CHURCH BOYS SCHOOL,Bryn Athyn,PA,Adm,3,,3,
ACADEMY OF HOLY ANGELS241585,ACADEMY OF HOLY ANGELS,Richfield,MN,App,15,8,7,
ACADEMY OF HOLY ANGELS241585,ACADEMY OF HOLY ANGELS,Richfield,MN,Adm,11,6,5,
ACADEMY OF HOLY ANGELS241585,ACADEMY OF HOLY ANGELS,Richfield,MN,Enr,4,,,
ACADEMY OF OUR LADY OF MERCY70415,ACADEMY OF OUR LADY OF MERCY,Milford,CT,App,9,9,,
ACADEMY OF OUR LADY OF MERCY70415,ACADEMY OF OUR LADY OF MERCY,Milford,CT,Adm,7,7,,
ACADEMY OF THE HOLY ANGELS310390,ACADEMY OF THE HOLY ANGELS,Demarest,NJ,App,8,8,,
ACADEMY OF THE HOLY ANGELS310390,ACADEMY OF THE HOLY ANGELS,Demarest,NJ,Adm,4,4,,
ACTON-BOXBOROUGH REGIONAL HS222297,ACTON-BOXBOROUGH REGIONAL HS,Acton,MA,App,49,16,31,
ACTON-BOXBOROUGH REGIONAL HS222297,ACTON-BOXBOROUGH REGIONAL HS,Acton,MA,Adm,30,5,24,
ACTON-BOXBOROUGH REGIONAL HS222297,ACTON-BOXBOROUGH REGIONAL HS,Acton,MA,Enr,5,,5,
ADELSON SCHOOL THE290229,ADELSON SCHOOL THE,Las Vegas,NV,Adm,3,,,
ADLAI E STEVENSON HIGH SCHOOL143550,ADLAI E STEVENSON HIGH SCHOOL,Lincolnshire,IL,App,111,57,52,
ADLAI E STEVENSON HIGH SCHOOL143550,ADLAI E STEVENSON HIGH SCHOOL,Lincolnshire,IL,Adm,74,38,35,
ADLAI E STEVENSON HIGH SCHOOL143550,ADLAI E STEVENSON HIGH SCHOOL,Lincolnshire,IL,Enr,14,8,6,
ADVANCED MATH/SCI ACAD CHARTER221349,ADVANCED MATH/SCI ACAD CHARTER,Marlborough,MA,App,8,5,,
ADVANCED MATH/SCI ACAD CHARTER221349,ADVANCED MATH/SCI ACAD CHARTER,Marlborough,MA,Adm,5,,,
ADVANCED TECHNOLOGIES ACADEMY290134,ADVANCED TECHNOLOGIES ACADEMY,Las Vegas,NV,App,13,,11,
ADVANCED TECHNOLOGIES ACADEMY290134,ADVANCED TECHNOLOGIES ACADEMY,Las Vegas,NV,Adm,8,,7,
AG WEST BLACK HILLS480826,AG WEST BLACK HILLS,Olympia,WA,App,6,5,,
AG WEST BLACK HILLS480826,AG WEST BLACK HILLS,Olympia,WA,Adm,4,4,,
AGNES IRWIN SCHOOL395400,AGNES IRWIN SCHOOL,Bryn Mawr,PA,App,5,5,,
ALABAMA SCHOOL OF MATH/SCIENCE11793,ALABAMA SCHOOL OF MATH/SCIENCE,Mobile,AL,App,5,,,
ALABAMA SCHOOL OF MATH/SCIENCE11793,ALABAMA SCHOOL OF MATH/SCIENCE,Mobile,AL,Adm,4,4,,
ALAMO HEIGHTS HIGH SCHOOL446120,ALAMO HEIGHTS HIGH SCHOOL,San Antonio,TX,App,11,,8,
ALAMO HEIGHTS HIGH SCHOOL446120,ALAMO HEIGHTS HIGH SCHOOL,San Antonio,TX,Adm,7,,5,
ALAN C POPE HIGH SCHOOL111998,ALAN C POPE HIGH SCHOOL,Marietta,GA,App,6,,,
ALAN C POPE HIGH SCHOOL111998,ALAN C POPE HIGH SCHOOL,Marietta,GA,Adm,4,,,
ALBANY ACADEMIES330035,ALBANY ACADEMIES,Albany,NY,App,7,,,
ALBANY ACADEMIES330035,ALBANY ACADEMIES,Albany,NY,Adm,5,3,,
ALBANY ACADEMIES330035,ALBANY ACADEMIES,Albany,NY,Enr,3,,,
ALBERT EINSTEIN HIGH SCHOOL210677,ALBERT EINSTEIN HIGH SCHOOL,Kensington,MD,App,5,,,
ALBERT EINSTEIN HIGH SCHOOL210677,ALBERT EINSTEIN HIGH SCHOOL,Kensington,MD,Adm,3,,,
ALBUQUERQUE ACADEMY320003,ALBUQUERQUE ACADEMY,Albuquerque,NM,App,28,18,10,
ALBUQUERQUE ACADEMY320003,ALBUQUERQUE ACADEMY,Albuquerque,NM,Adm,15,10,5,
ALBUQUERQUE HIGH SCHOOL320040,ALBUQUERQUE HIGH SCHOOL,Albuquerque,NM,App,11,8,,
ALBUQUERQUE HIGH SCHOOL320040,ALBUQUERQUE HIGH SCHOOL,Albuquerque,NM,Adm,8,6,,
ALEXANDER W DREYFOOS JR SCHOOL101822,ALEXANDER W DREYFOOS JR SCHOOL,West Palm Beach,FL,App,23,16,7,
ALEXANDER W DREYFOOS JR SCHOOL101822,ALEXANDER W DREYFOOS JR SCHOOL,West Palm Beach,FL,Adm,15,12,3,
ALGONQUIN REGIONAL HIGH SCHOOL221630,ALGONQUIN REGIONAL HIGH SCHOOL,Northborough,MA,App,8,,,
ALGONQUIN REGIONAL HIGH SCHOOL221630,ALGONQUIN REGIONAL HIGH SCHOOL,Northborough,MA,Adm,4,,,
ALLEN ACADEMY440945,ALLEN ACADEMY,Bryan,TX,Adm,4,,,
ALLEN D NEASE HIGH SCHOOL100729,ALLEN D NEASE HIGH SCHOOL,Ponte Vedra,FL,App,5,,,
ALLEN HIGH SCHOOL440077,ALLEN HIGH SCHOOL,Allen,TX,App,46,29,16,
ALLEN HIGH SCHOOL440077,ALLEN HIGH SCHOOL,Allen,TX,Adm,26,18,8,
ALLEN HIGH SCHOOL440077,ALLEN HIGH SCHOOL,Allen,TX,Enr,5,4,,
ALLENTOWN CENTRAL CATHOLIC HS390025,ALLENTOWN CENTRAL CATHOLIC HS,Allentown,PA,App,9,5,,
ALLENTOWN CENTRAL CATHOLIC HS390025,ALLENTOWN CENTRAL CATHOLIC HS,Allentown,PA,Adm,5,,3,
ALLENTOWN HIGH SCHOOL310000,ALLENTOWN HIGH SCHOOL,Allentown,NJ,Adm,3,3,,
ALPHARETTA HIGH SCHOOL110058,ALPHARETTA HIGH SCHOOL,Alpharetta,GA,App,25,14,11,
ALPHARETTA HIGH SCHOOL110058,ALPHARETTA HIGH SCHOOL,Alpharetta,GA,Adm,13,7,6,
ALTA HIGH SCHOOL450402,ALTA HIGH SCHOOL,Sandy,UT,App,6,,,
ALTA HIGH SCHOOL450402,ALTA HIGH SCHOOL,Sandy,UT,Adm,3,,,
AMERICAN HERITAGE SCHOOL101422,AMERICAN HERITAGE SCHOOL,Plantation,FL,App,45,19,26,
AMERICAN HERITAGE SCHOOL101422,AMERICAN HERITAGE SCHOOL,Plantation,FL,Adm,32,14,18,
AMERICAN HERITAGE SCHOOL101422,AMERICAN HERITAGE SCHOOL,Plantation,FL,Enr,9,,7,
AMERICAN HERITAGE-BOCA/DELRAY100426,AMERICAN HERITAGE-BOCA/DELRAY,Delray Beach,FL,App,36,17,19,
AMERICAN HERITAGE-BOCA/DELRAY100426,AMERICAN HERITAGE-BOCA/DELRAY,Delray Beach,FL,Adm,18,6,12,
AMERICAN HERITAGE-BOCA/DELRAY100426,AMERICAN HERITAGE-BOCA/DELRAY,Delray Beach,FL,Enr,6,3,3,
AMES HIGH SCHOOL160140,AMES HIGH SCHOOL,Ames,IA,App,11,6,5,
AMES HIGH SCHOOL160140,AMES HIGH SCHOOL,Ames,IA,Adm,9,5,4,
AMES HIGH SCHOOL160140,AMES HIGH SCHOOL,Ames,IA,Enr,3,,,
AMHERST REGIONAL HIGH SCHOOL220015,AMHERST REGIONAL HIGH SCHOOL,Amherst,MA,App,5,,,
AMHERST REGIONAL HIGH SCHOOL220015,AMHERST REGIONAL HIGH SCHOOL,Amherst,MA,Adm,5,3,,
AMITY REGIONAL HIGH SCHOOL70965,AMITY REGIONAL HIGH SCHOOL,Woodbridge,CT,App,10,7,,
AMITY REGIONAL HIGH SCHOOL70965,AMITY REGIONAL HIGH SCHOOL,Woodbridge,CT,Adm,7,5,,
ANACORTES HIGH SCHOOL480025,ANACORTES HIGH SCHOOL,Anacortes,WA,App,5,,,
ANACORTES HIGH SCHOOL480025,ANACORTES HIGH SCHOOL,Anacortes,WA,Adm,3,,,
ANDOVER HIGH SCHOOL220025,ANDOVER HIGH SCHOOL,Andover,MA,App,20,8,11,
ANDOVER HIGH SCHOOL220025,ANDOVER HIGH SCHOOL,Andover,MA,Adm,11,5,6,
ANDREWS OSBORNE ACADEMY365565,ANDREWS OSBORNE ACADEMY,Willoughby,OH,App,13,,9,
ANDREWS OSBORNE ACADEMY365565,ANDREWS OSBORNE ACADEMY,Willoughby,OH,Adm,12,4,8,
ANNAPOLIS SENIOR HIGH SCHOOL210008,ANNAPOLIS SENIOR HIGH SCHOOL,Annapolis,MD,App,11,7,,
ANNAPOLIS SENIOR HIGH SCHOOL210008,ANNAPOLIS SENIOR HIGH SCHOOL,Annapolis,MD,Adm,7,4,3,
ANNIE WRIGHT SCHOOL481355,ANNIE WRIGHT SCHOOL,Tacoma,WA,App,15,15,,
ANNIE WRIGHT SCHOOL481355,ANNIE WRIGHT SCHOOL,Tacoma,WA,Adm,13,13,,
ANTONIAN COLLEGE PREPARATORY H446122,ANTONIAN COLLEGE PREPARATORY H,San Antonio,TX,Adm,3,3,,
APEX HIGH SCHOOL340085,APEX HIGH SCHOOL,Apex,NC,App,5,,5,
APEX HIGH SCHOOL340085,APEX HIGH SCHOOL,Apex,NC,Adm,3,,3,
APPLE VALLEY HIGH SCHOOL240084,APPLE VALLEY HIGH SCHOOL,Apple Valley,MN,App,5,,,
APPLE VALLEY HIGH SCHOOL240084,APPLE VALLEY HIGH SCHOOL,Apple Valley,MN,Adm,5,3,,
AQUINAS INSTITUTE ROCHESTER334765,AQUINAS INSTITUTE ROCHESTER,Rochester,NY,App,11,6,5,
AQUINAS INSTITUTE ROCHESTER334765,AQUINAS INSTITUTE ROCHESTER,Rochester,NY,Adm,8,4,4,
AQUINAS INSTITUTE ROCHESTER334765,AQUINAS INSTITUTE ROCHESTER,Rochester,NY,Enr,3,,,
ARAPAHOE HIGH SCHOOL60928,ARAPAHOE HIGH SCHOOL,Centennial,CO,App,22,15,7,
ARAPAHOE HIGH SCHOOL60928,ARAPAHOE HIGH SCHOOL,Centennial,CO,Adm,17,11,6,
ARBOR VIEW HIGH SCHOOL290204,ARBOR VIEW HIGH SCHOOL,Las Vegas,NV,App,5,,,
ARBOR VIEW HIGH SCHOOL290204,ARBOR VIEW HIGH SCHOOL,Las Vegas,NV,Adm,3,,,
ARCADIA HIGH SCHOOL30303,ARCADIA HIGH SCHOOL,Phoenix,AZ,App,9,,5,
ARCADIA HIGH SCHOOL30303,ARCADIA HIGH SCHOOL,Phoenix,AZ,Adm,9,3,5,
ARCADIA HIGH SCHOOL30303,ARCADIA HIGH SCHOOL,Phoenix,AZ,Enr,3,,,
ARCHBISHOP CARROLL HIGH SCHOOL394131,ARCHBISHOP CARROLL HIGH SCHOOL,Radnor,PA,App,5,,,
ARCHBISHOP CARROLL HIGH SCHOOL394131,ARCHBISHOP CARROLL HIGH SCHOOL,Radnor,PA,Adm,5,3,,
ARCHMERE ACADEMY80010,ARCHMERE ACADEMY,Claymont,DE,App,9,5,,
ARDREY KELL HIGH SCHOOL340735,ARDREY KELL HIGH SCHOOL,Charlotte,NC,App,25,18,7,
ARDREY KELL HIGH SCHOOL340735,ARDREY KELL HIGH SCHOOL,Charlotte,NC,Adm,13,8,5,
ARIZONA COLLEGE PREP - ERIE30711,ARIZONA COLLEGE PREP - ERIE,Chandler,AZ,App,15,8,7,
ARIZONA COLLEGE PREP - ERIE30711,ARIZONA COLLEGE PREP - ERIE,Chandler,AZ,Adm,11,5,6,
ARIZONA COLLEGE PREP - ERIE30711,ARIZONA COLLEGE PREP - ERIE,Chandler,AZ,Enr,4,,3,
ARIZONA990282,ARIZONA,,AZ,App,7,,5,
ARIZONA990282,ARIZONA,,AZ,Adm,4,,,
ARLINGTON CATHOLIC HIGH SCHOOL220032,ARLINGTON CATHOLIC HIGH SCHOOL,Arlington,MA,Adm,4,3,,
ARLINGTON HIGH SCHOOL334620,ARLINGTON HIGH SCHOOL,Lagrangeville,NY,App,6,,,
ARLINGTON HIGH SCHOOL334620,ARLINGTON HIGH SCHOOL,Lagrangeville,NY,Adm,3,,,
ARMAND HAMMER UNITED WORLD CLG320454,ARMAND HAMMER UNITED WORLD CLG,Montezuma,NM,App,5,,,
ARMAND HAMMER UNITED WORLD CLG320454,ARMAND HAMMER UNITED WORLD CLG,Montezuma,NM,Adm,4,,,
ARROWHEAD HIGH SCHOOL500853,ARROWHEAD HIGH SCHOOL,Hartland,WI,App,9,6,,
ARROWHEAD HIGH SCHOOL500853,ARROWHEAD HIGH SCHOOL,Hartland,WI,Adm,3,3,,
ARUNDEL SENIOR HIGH SCHOOL210570,ARUNDEL SENIOR HIGH SCHOOL,Gambrills,MD,Adm,3,,,
ARVADA WEST HIGH SCHOOL60057,ARVADA WEST HIGH SCHOOL,Arvada,CO,App,5,,,
ARVADA WEST HIGH SCHOOL60057,ARVADA WEST HIGH SCHOOL,Arvada,CO,Adm,5,3,,
ASHEVILLE SCHOOL340120,ASHEVILLE SCHOOL,Asheville,NC,App,13,6,7,
ASHEVILLE SCHOOL340120,ASHEVILLE SCHOOL,Asheville,NC,Adm,9,4,5,
ASHLAND HIGH SCHOOL220065,ASHLAND HIGH SCHOOL,Ashland,MA,Adm,3,,,
ASHLEY HALL410360,ASHLEY HALL,Charleston,SC,App,7,7,,
ASHLEY HALL410360,ASHLEY HALL,Charleston,SC,Adm,7,7,,
ASHLEY HALL410360,ASHLEY HALL,Charleston,SC,Enr,3,3,,
ASPEN HIGH SCHOOL60060,ASPEN HIGH SCHOOL,Aspen,CO,App,14,9,5,
ASPEN HIGH SCHOOL60060,ASPEN HIGH SCHOOL,Aspen,CO,Adm,10,6,4,
ASU PREP ACAD - CASA GRANDE HS30083,ASU PREP ACAD - CASA GRANDE HS,Casa Grande,AZ,App,5,,5,
ASU PREP ACAD - CASA GRANDE HS30083,ASU PREP ACAD - CASA GRANDE HS,Casa Grande,AZ,Adm,3,,3,
ASU PREP DIGITAL30175,ASU PREP DIGITAL,Tempe,AZ,App,5,,,
ASU PREP DIGITAL30175,ASU PREP DIGITAL,Tempe,AZ,Adm,4,3,,
ATLANTA INTERNATIONAL SCHOOL110132,ATLANTA INTERNATIONAL SCHOOL,Atlanta,GA,App,14,6,8,
ATLANTA INTERNATIONAL SCHOOL110132,ATLANTA INTERNATIONAL SCHOOL,Atlanta,GA,Adm,9,5,4,
ATLANTA INTERNATIONAL SCHOOL110132,ATLANTA INTERNATIONAL SCHOOL,Atlanta,GA,Enr,4,,,
ATLANTIC COMMUNITY HIGH SCHOOL100420,ATLANTIC COMMUNITY HIGH SCHOOL,Delray Beach,FL,App,5,,,
AUBURN ADVENTIST ACADEMY480045,AUBURN ADVENTIST ACADEMY,Auburn,WA,Adm,3,,,
AUBURN HIGH SCHOOL10220,AUBURN HIGH SCHOOL,Auburn,AL,App,12,7,,
AUBURN HIGH SCHOOL10220,AUBURN HIGH SCHOOL,Auburn,AL,Adm,7,4,,
AUBURN RIVERSIDE HIGH480046,AUBURN RIVERSIDE HIGH,Auburn,WA,App,7,5,,
AUBURN RIVERSIDE HIGH480046,AUBURN RIVERSIDE HIGH,Auburn,WA,Adm,6,4,,
AUSTIN E LATHROP HIGH SCHOOL20035,AUSTIN E LATHROP HIGH SCHOOL,Fairbanks,AK,Adm,3,,,
AUSTIN PREPARATORY SCHOOL221818,AUSTIN PREPARATORY SCHOOL,Reading,MA,App,10,,6,
AUSTIN PREPARATORY SCHOOL221818,AUSTIN PREPARATORY SCHOOL,Reading,MA,Adm,7,3,4,
AUSTIN PREPARATORY SCHOOL221818,AUSTIN PREPARATORY SCHOOL,Reading,MA,Enr,5,,3,
AVENUES NEW YORK333776,AVENUES NEW YORK,New York,NY,App,5,,,
AVENUES NEW YORK333776,AVENUES NEW YORK,New York,NY,Adm,4,3,,
AVON HIGH SCHOOL70008,AVON HIGH SCHOOL,Avon,CT,App,8,6,,
AVON HIGH SCHOOL70008,AVON HIGH SCHOOL,Avon,CT,Adm,3,,,
AVON OLD FARMS SCHOOL70010,AVON OLD FARMS SCHOOL,Avon,CT,App,13,,13,
AVON OLD FARMS SCHOOL70010,AVON OLD FARMS SCHOOL,Avon,CT,Adm,11,,11,
AWTY INTERNATIONAL SCHOOL443332,AWTY INTERNATIONAL SCHOOL,Houston,TX,App,25,12,13,
AWTY INTERNATIONAL SCHOOL443332,AWTY INTERNATIONAL SCHOOL,Houston,TX,Adm,17,7,10,
B REED HENDERSON HIGH SCHOOL395170,B REED HENDERSON HIGH SCHOOL,West Chester,PA,Adm,3,,,
BAINBRIDGE HIGH SCHOOL481580,BAINBRIDGE HIGH SCHOOL,Bainbridge Is,WA,App,26,13,13,
BAINBRIDGE HIGH SCHOOL481580,BAINBRIDGE HIGH SCHOOL,Bainbridge Is,WA,Adm,17,9,8,
BALLARD HIGH SCHOOL481045,BALLARD HIGH SCHOOL,Seattle,WA,App,47,27,20,
BALLARD HIGH SCHOOL481045,BALLARD HIGH SCHOOL,Seattle,WA,Adm,34,17,17,
BALLARD HIGH SCHOOL481045,BALLARD HIGH SCHOOL,Seattle,WA,Enr,4,3,,
BALTIMORE POLYTECHNIC INST210038,BALTIMORE POLYTECHNIC INST,Baltimore,MD,App,5,,,
BALTIMORE POLYTECHNIC INST210038,BALTIMORE POLYTECHNIC INST,Baltimore,MD,Adm,4,3,,
BARRINGTON COMMUNITY HIGH SCHL140205,BARRINGTON COMMUNITY HIGH SCHL,Barrington,IL,App,42,24,17,
BARRINGTON COMMUNITY HIGH SCHL140205,BARRINGTON COMMUNITY HIGH SCHL,Barrington,IL,Adm,23,13,9,
BARRINGTON COMMUNITY HIGH SCHL140205,BARRINGTON COMMUNITY HIGH SCHL,Barrington,IL,Enr,7,3,4,
BARRINGTON HIGH SCHOOL400000,BARRINGTON HIGH SCHOOL,Barrington,RI,App,10,8,,
BARRINGTON HIGH SCHOOL400000,BARRINGTON HIGH SCHOOL,Barrington,RI,Adm,6,6,,
BARSTOW SCHOOL261605,BARSTOW SCHOOL,Kansas City,MO,App,11,,8,
BARSTOW SCHOOL261605,BARSTOW SCHOOL,Kansas City,MO,Adm,7,3,4,
BARTLETT HIGH SCHOOL140213,BARTLETT HIGH SCHOOL,Bartlett,IL,App,10,8,,
BARTLETT HIGH SCHOOL140213,BARTLETT HIGH SCHOOL,Bartlett,IL,Adm,7,5,,
BASHA HIGH SCHOOL30037,BASHA HIGH SCHOOL,Chandler,AZ,App,15,6,9,
BASHA HIGH SCHOOL30037,BASHA HIGH SCHOOL,Chandler,AZ,Adm,10,4,6,
BASIS AHWATUKEE30800,BASIS AHWATUKEE,Phoenix,AZ,App,9,6,,
BASIS AHWATUKEE30800,BASIS AHWATUKEE,Phoenix,AZ,Adm,6,3,3,
BASIS CHANDLER30072,BASIS CHANDLER,Chandler,AZ,App,21,11,10,
BASIS CHANDLER30072,BASIS CHANDLER,Chandler,AZ,Adm,15,8,7,
BASIS CHANDLER30072,BASIS CHANDLER,Chandler,AZ,Enr,4,3,,
BASIS FLAGSTAFF30728,BASIS FLAGSTAFF,Flagstaff,AZ,App,5,,,
BASIS FLAGSTAFF30728,BASIS FLAGSTAFF,Flagstaff,AZ,Adm,5,4,,
BASIS INDEPENDENT MCLEAN470006,BASIS INDEPENDENT MCLEAN,Mclean,VA,App,10,,5,
BASIS INDEPENDENT MCLEAN470006,BASIS INDEPENDENT MCLEAN,Mclean,VA,Adm,9,4,4,
BASIS INDEPENDENT MCLEAN470006,BASIS INDEPENDENT MCLEAN,Mclean,VA,Enr,4,,,
BASIS MESA30750,BASIS MESA,Mesa,AZ,App,6,,,
BASIS MESA30750,BASIS MESA,Mesa,AZ,Adm,4,,,
BASIS ORO VALLEY30615,BASIS ORO VALLEY,Oro Valley,AZ,App,7,,,
BASIS ORO VALLEY30615,BASIS ORO VALLEY,Oro Valley,AZ,Adm,7,4,3,
BASIS ORO VALLEY30615,BASIS ORO VALLEY,Oro Valley,AZ,Enr,3,,,
BASIS PEORIA30652,BASIS PEORIA,Peoria,AZ,App,17,7,10,
BASIS PEORIA30652,BASIS PEORIA,Peoria,AZ,Adm,12,5,7,
BASIS PHOENIX30742,BASIS PHOENIX,Phoenix,AZ,App,18,12,6,
BASIS PHOENIX30742,BASIS PHOENIX,Phoenix,AZ,Adm,14,10,4,
BASIS PHOENIX30742,BASIS PHOENIX,Phoenix,AZ,Enr,4,,,
BASIS SAN ANTONIO SHAVANO CMPS446283,BASIS SAN ANTONIO SHAVANO CMPS,San Antonio,TX,App,10,5,5,
BASIS SAN ANTONIO SHAVANO CMPS446283,BASIS SAN ANTONIO SHAVANO CMPS,San Antonio,TX,Adm,6,3,3,
BASIS SCOTTSDALE CHARTER SCH30660,BASIS SCOTTSDALE CHARTER SCH,Scottsdale,AZ,App,43,21,21,
BASIS SCOTTSDALE CHARTER SCH30660,BASIS SCOTTSDALE CHARTER SCH,Scottsdale,AZ,Adm,34,17,17,
BASIS SCOTTSDALE CHARTER SCH30660,BASIS SCOTTSDALE CHARTER SCH,Scottsdale,AZ,Enr,13,6,7,
BASIS TUCSON NORTH30743,BASIS TUCSON NORTH,Tucson,AZ,App,14,7,7,
BASIS TUCSON NORTH30743,BASIS TUCSON NORTH,Tucson,AZ,Adm,12,6,6,
BASIS TUCSON NORTH30743,BASIS TUCSON NORTH,Tucson,AZ,Enr,3,,,
BATON ROUGE MAGNET HIGH SCHOOL190179,BATON ROUGE MAGNET HIGH SCHOOL,Baton Rouge,LA,App,8,6,,
BATON ROUGE MAGNET HIGH SCHOOL190179,BATON ROUGE MAGNET HIGH SCHOOL,Baton Rouge,LA,Adm,4,3,,
BATTLE GROUND ACADEMY430700,BATTLE GROUND ACADEMY,Franklin,TN,App,5,,,
BATTLE GROUND ACADEMY430700,BATTLE GROUND ACADEMY,Franklin,TN,Adm,5,4,,
BAYLOR SCHOOL430275,BAYLOR SCHOOL,Chattanooga,TN,App,22,12,10,
BAYLOR SCHOOL430275,BAYLOR SCHOOL,Chattanooga,TN,Adm,19,10,9,
BAYLOR SCHOOL430275,BAYLOR SCHOOL,Chattanooga,TN,Enr,3,,,
BEACHWOOD HIGH SCHOOL361193,BEACHWOOD HIGH SCHOOL,Beachwood,OH,App,5,,,
BEACHWOOD HIGH SCHOOL361193,BEACHWOOD HIGH SCHOOL,Beachwood,OH,Adm,3,,,
BEACON ACADEMY141852,BEACON ACADEMY,Evanston,IL,Adm,3,,3,
BEACON SCHOOL333438,BEACON SCHOOL,New York,NY,App,21,9,12,
BEACON SCHOOL333438,BEACON SCHOOL,New York,NY,Adm,12,5,7,
BEAR CREEK SCHOOL481592,BEAR CREEK SCHOOL,Redmond,WA,App,8,,6,
BEAR CREEK SCHOOL481592,BEAR CREEK SCHOOL,Redmond,WA,Adm,6,,4,
BEARDEN HIGH SCHOOL431090,BEARDEN HIGH SCHOOL,Knoxville,TN,Adm,3,3,,
BEAVERCREEK HIGH SCHOOL365660,BEAVERCREEK HIGH SCHOOL,Beavercreek,OH,App,5,,,
BEDFORD HIGH SCHOOL220112,BEDFORD HIGH SCHOOL,Bedford,MA,App,13,8,5,
BEDFORD HIGH SCHOOL220112,BEDFORD HIGH SCHOOL,Bedford,MA,Adm,7,5,,
BELLAIRE SENIOR HIGH SCHOOL440557,BELLAIRE SENIOR HIGH SCHOOL,Bellaire,TX,App,21,13,8,
BELLAIRE SENIOR HIGH SCHOOL440557,BELLAIRE SENIOR HIGH SCHOOL,Bellaire,TX,Adm,12,8,4,
BELLARMINE PREPARATORY SCHOOL481365,BELLARMINE PREPARATORY SCHOOL,Tacoma,WA,App,32,19,13,
BELLARMINE PREPARATORY SCHOOL481365,BELLARMINE PREPARATORY SCHOOL,Tacoma,WA,Adm,22,14,8,
BELLARMINE PREPARATORY SCHOOL481365,BELLARMINE PREPARATORY SCHOOL,Tacoma,WA,Enr,5,5,,
BELLEVUE CHRISTIAN SCHOOL480065,BELLEVUE CHRISTIAN SCHOOL,Clyde Hill,WA,App,13,8,5,
BELLEVUE CHRISTIAN SCHOOL480065,BELLEVUE CHRISTIAN SCHOOL,Clyde Hill,WA,Adm,12,8,4,
BELLEVUE SENIOR HIGH SCHOOL480070,BELLEVUE SENIOR HIGH SCHOOL,Bellevue,WA,App,108,59,46,
BELLEVUE SENIOR HIGH SCHOOL480070,BELLEVUE SENIOR HIGH SCHOOL,Bellevue,WA,Adm,86,45,39,
BELLEVUE SENIOR HIGH SCHOOL480070,BELLEVUE SENIOR HIGH SCHOOL,Bellevue,WA,Enr,17,11,6,
BELMONT HIGH SCHOOL220123,BELMONT HIGH SCHOOL,Belmont,MA,App,23,18,5,
BELMONT HIGH SCHOOL220123,BELMONT HIGH SCHOOL,Belmont,MA,Adm,15,11,4,
BELMONT HIGH SCHOOL220123,BELMONT HIGH SCHOOL,Belmont,MA,Enr,3,3,,
BEN LIPPEN SCHOOL410501,BEN LIPPEN SCHOOL,Columbia,SC,App,8,,,
BEN LIPPEN SCHOOL410501,BEN LIPPEN SCHOOL,Columbia,SC,Adm,7,3,4,
BEN LIPPEN SCHOOL410501,BEN LIPPEN SCHOOL,Columbia,SC,Enr,3,,,
BEND HIGH SCHOOL380085,BEND HIGH SCHOOL,Bend,OR,App,10,5,5,
BEND HIGH SCHOOL380085,BEND HIGH SCHOOL,Bend,OR,Adm,9,5,4,
BENET ACADEMY142635,BENET ACADEMY,Lisle,IL,App,7,6,,
BENET ACADEMY142635,BENET ACADEMY,Lisle,IL,Adm,3,3,,
BENJAMIN CARDOZO HIGH SCHOOL330357,BENJAMIN CARDOZO HIGH SCHOOL,Oakland Gardens,NY,App,5,,,
BENJAMIN CARDOZO HIGH SCHOOL330357,BENJAMIN CARDOZO HIGH SCHOOL,Oakland Gardens,NY,Adm,3,,,
BENJAMIN FRANKLIN HIGH SCHOOL192006,BENJAMIN FRANKLIN HIGH SCHOOL,New Orleans,LA,App,26,18,8,
BENJAMIN FRANKLIN HIGH SCHOOL192006,BENJAMIN FRANKLIN HIGH SCHOOL,New Orleans,LA,Adm,18,13,5,
BENJAMIN FRANKLIN HIGH SCHOOL192006,BENJAMIN FRANKLIN HIGH SCHOOL,New Orleans,LA,Enr,4,,,
BENJAMIN SCHOOL101239,BENJAMIN SCHOOL,Palm Beach Gdns,FL,App,9,8,,
BENJAMIN SCHOOL101239,BENJAMIN SCHOOL,Palm Beach Gdns,FL,Adm,5,4,,
