Calculation1,School,City,County/State/Country,App GPA,Adm GPA,Enrl GPA
GOOD SHEPHERD INTNL SCHOOL671067,GOOD SHEPHERD INTNL SCHOOL,n/a ,INDIA,3.41,3.53,
GRAND LYCEE FRANCO LIBANAIS685301,GRAND LYCEE FRANCO LIBANAIS,n/a ,LEBANON,3.68,,
GREENGATES SCHOOL870480,GREENGATES SCHOOL,n/a ,MEXICO,4.03,4.04,
GREENWOOD HIGH SCHOOL671681,GREENWOOD HIGH SCHOOL,n/a ,INDIA,3.82,3.93,
GUANGDONG EXPERIMENTAL HS694564,GUANGDONG EXPERIMENTAL HS,n/a ,"CHINA, PEOPLES REPUBLIC",3.88,3.9,3.96
GUANGZHOU FOREIGN LANGUAGE SCH694356,GUANGZHOU FOREIGN LANGUAGE SCH,n/a ,"CHINA, PEOPLES REPUBLIC",3.95,3.96,4.02
GUANGZHOU NO 6 HIGH SCHOOL694534,GUANGZHOU NO 6 HIGH SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.99,4.02,
GUI YANG HAPPY VLY INT EXP SCH694081,GUI YANG HAPPY VLY INT EXP SCH,n/a ,"CHINA, PEOPLES REPUBLIC",3.76,,
GYEONGGI SUWON INTERNATIONAL682018,GYEONGGI SUWON INTERNATIONAL,n/a ,"KOREA, REPUBLIC OF (SOUTH)",3.85,3.83,4
HAIDIAN FOREIGN LANGUAGE ACAD694262,HAIDIAN FOREIGN LANGUAGE ACAD,n/a ,"CHINA, PEOPLES REPUBLIC",3.91,3.93,4.03
HAIMEN ZHONGNAN DONGZHOU INTL694029,HAIMEN ZHONGNAN DONGZHOU INTL,n/a ,"CHINA, PEOPLES REPUBLIC",3.83,3.83,
HAINAN OVERSEAS CHINESE MID SC694442,HAINAN OVERSEAS CHINESE MID SC,n/a ,"CHINA, PEOPLES REPUBLIC",3.77,3.77,
HANDSWORTH SECONDARY SCHOOL821245,HANDSWORTH SECONDARY SCHOOL,n/a ,CANADA,3.81,,
HANGZHOU #14 MID SCH-ZHEJIANG694233,HANGZHOU #14 MID SCH-ZHEJIANG,n/a ,"CHINA, PEOPLES REPUBLIC",3.86,3.9,3.99
HANGZHOU FOREIGN LANGUAGES SCH694273,HANGZHOU FOREIGN LANGUAGES SCH,n/a ,"CHINA, PEOPLES REPUBLIC",3.62,3.7,
HANGZHOU HS QIANJIANG CAMPUS694579,HANGZHOU HS QIANJIANG CAMPUS,n/a ,"CHINA, PEOPLES REPUBLIC",3.68,3.72,3.92
HANKUK ACAD OF FOREIGN STUDIES682011,HANKUK ACAD OF FOREIGN STUDIES,n/a ,"KOREA, REPUBLIC OF (SOUTH)",4.12,4.15,
HAVERGAL COLLEGE826804,HAVERGAL COLLEGE,n/a ,CANADA,4.01,,
HEADSTART SCHOOL690200,HEADSTART SCHOOL,n/a ,PAKISTAN,3.62,,
HEFEI NO 1 HIGH SCHOOL694493,HEFEI NO 1 HIGH SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",4.1,4.1,4.11
HEFEI NO 6 HIGH SCHOOL694654,HEFEI NO 6 HIGH SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.84,3.92,3.9
HEFEI NO 8 HIGH SCHOOL694341,HEFEI NO 8 HIGH SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",4.04,4.03,4.02
HENAN EXPERIMENTAL HIGH SCHOOL694401,HENAN EXPERIMENTAL HIGH SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.83,3.91,3.89
HERITAGE XPERIENTIAL LEARNING671075,HERITAGE XPERIENTIAL LEARNING,n/a ,INDIA,3.71,3.73,
HIGH SCH @RENMIN UNIV OF CHINA694270,HIGH SCH @RENMIN UNIV OF CHINA,n/a ,"CHINA, PEOPLES REPUBLIC",3.96,4.02,4
HIGH SCH AFLTD NANJING NORMAL694298,HIGH SCH AFLTD NANJING NORMAL,n/a ,"CHINA, PEOPLES REPUBLIC",3.99,4.02,4.05
HIGH SCH AFLTD XIAN JIAOTONG U694461,HIGH SCH AFLTD XIAN JIAOTONG U,n/a ,"CHINA, PEOPLES REPUBLIC",3.8,,
HIGH SCH ATTACHED HUNAN NORMAL694367,HIGH SCH ATTACHED HUNAN NORMAL,n/a ,"CHINA, PEOPLES REPUBLIC",3.89,,
HIGH SCH ATTACHED NE NRML UNIV694306,HIGH SCH ATTACHED NE NRML UNIV,n/a ,"CHINA, PEOPLES REPUBLIC",3.74,3.83,
HIGH SCH CAPITAL NORMAL UNIV694272,HIGH SCH CAPITAL NORMAL UNIV,n/a ,"CHINA, PEOPLES REPUBLIC",4,4.04,4.03
HIGH SCHL AT NORTHWEST NORMAL694336,HIGH SCHL AT NORTHWEST NORMAL,n/a ,"CHINA, PEOPLES REPUBLIC",3.92,4.01,4
HIGH SCHL SHANGHAI JIAO TONG U694458,HIGH SCHL SHANGHAI JIAO TONG U,n/a ,"CHINA, PEOPLES REPUBLIC",3.99,4.02,3.9
HIGH SCHL-BEIJING NORMAL UNIV694423,HIGH SCHL-BEIJING NORMAL UNIV,n/a ,"CHINA, PEOPLES REPUBLIC",3.97,3.97,
HIGH SCHOOL AFF NANJING NORMAL694633,HIGH SCHOOL AFF NANJING NORMAL,n/a ,"CHINA, PEOPLES REPUBLIC",3.84,3.84,3.85
HIGH SCHOOL ATTACHED SHANDONG694337,HIGH SCHOOL ATTACHED SHANDONG,n/a ,"CHINA, PEOPLES REPUBLIC",3.96,3.97,
HILL SPRING INTERNATIONAL SCHL671658,HILL SPRING INTERNATIONAL SCHL,n/a ,INDIA,4.19,4.24,
HOHHOT NO 2 HIGH SCHOOL694505,HOHHOT NO 2 HIGH SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.8,3.91,3.97
HOLY TRINITY SCHOOL826583,HOLY TRINITY SCHOOL,n/a ,CANADA,3.91,,
HONG KONG INTERNATIONAL SCHOOL670885,HONG KONG INTERNATIONAL SCHOOL,n/a ,HONG KONG,3.91,3.92,3.99
HONG KONG990027,HONG KONG,n/a ,,2.87,2.83,
HUAMEI-BOND INTERNATIONAL COLG694286,HUAMEI-BOND INTERNATIONAL COLG,n/a ,"CHINA, PEOPLES REPUBLIC",3.64,,
HUMPHREYS HIGH SCHOOL562033,HUMPHREYS HIGH SCHOOL,n/a ,APO/FPO/CPO USA,4.05,4,
HWA CHONG INSTITUTION687210,HWA CHONG INSTITUTION,n/a ,SINGAPORE,3.56,,
HWA CHONG INTERNATIONAL SCHOOL687008,HWA CHONG INTERNATIONAL SCHOOL,n/a ,SINGAPORE,3.53,,
I-SHOU INTERNATIONAL SCHOOL694252,I-SHOU INTERNATIONAL SCHOOL,n/a ,TAIWAN,3.66,,
IBN KHULDOON NATIONAL SCH654013,IBN KHULDOON NATIONAL SCH,n/a ,BAHRAIN,3.91,,
IMMACULATE CONCEPTION ACADEMY705819,IMMACULATE CONCEPTION ACADEMY,n/a ,PHILIPPINES,3.76,3.75,
INDEPENDENT SCHOOLS FOUNDATION670889,INDEPENDENT SCHOOLS FOUNDATION,n/a ,HONG KONG,3.99,4.03,
INDIA990029,INDIA,n/a ,,3.77,3.83,3.85
INDIAN HIGH SCHOOL697011,INDIAN HIGH SCHOOL,n/a ,UNITED ARAB EMIRATES,3.92,3.91,
INDIAN SCHOOL AL GHUBRA688111,INDIAN SCHOOL AL GHUBRA,n/a ,OMAN,3.86,,
INDONESIA990030,INDONESIA,n/a ,,3.48,3.73,3.69
INDUS INTERNATIONAL SCHL-PUNE671811,INDUS INTERNATIONAL SCHL-PUNE,n/a ,INDIA,3.6,3.91,
INDUS INTERNATIONAL SCHOOL671069,INDUS INTERNATIONAL SCHOOL,n/a ,INDIA,3.5,3.63,
INSTITUT LE ROSEY796730,INSTITUT LE ROSEY,n/a ,SWITZERLAND,4.04,,
INT SCHOOL GENEVA CHAT796280,INT SCHOOL GENEVA CHAT,n/a ,SWITZERLAND,3.83,3.86,
INTERNATIONAL ACADEMY AMMAN681068,INTERNATIONAL ACADEMY AMMAN,n/a ,JORDAN,3.52,4.01,
INTERNATIONAL CHRISTIAN SCHOOL670529,INTERNATIONAL CHRISTIAN SCHOOL,n/a ,HONG KONG,3.99,3.98,3.97
INTERNATIONAL COLLEGE BEIRUT685300,INTERNATIONAL COLLEGE BEIRUT,n/a ,LEBANON,4.07,4.07,4.03
INTERNATIONAL COMMUNITY SCHOOL695209,INTERNATIONAL COMMUNITY SCHOOL,n/a ,THAILAND,4.03,4,
INTERNATIONAL PROGRAMS SCHOOL692105,INTERNATIONAL PROGRAMS SCHOOL,n/a ,SAUDI ARABIA,3.94,3.96,
INTERNATIONAL SCH KUALA LUMPUR686170,INTERNATIONAL SCH KUALA LUMPUR,n/a ,MALAYSIA,3.84,4.07,
INTERNATIONAL SCH NIDO AGUILAS920450,INTERNATIONAL SCH NIDO AGUILAS,n/a ,CHILE,3.98,4.06,
INTERNATIONAL SCH SACRED HEART680520,INTERNATIONAL SCH SACRED HEART,n/a ,JAPAN,3.99,,
INTERNATIONAL SCHOOL AMSTERDAM759120,INTERNATIONAL SCHOOL AMSTERDAM,n/a ,NETHERLANDS,3.92,3.92,
INTERNATIONAL SCHOOL BANGALORE671055,INTERNATIONAL SCHOOL BANGALORE,n/a ,INDIA,3.92,4.07,
INTERNATIONAL SCHOOL BANGKOK695220,INTERNATIONAL SCHOOL BANGKOK,n/a ,THAILAND,3.94,3.99,4.01
INTERNATIONAL SCHOOL BASEL796012,INTERNATIONAL SCHOOL BASEL,n/a ,SWITZERLAND,3.84,3.76,
INTERNATIONAL SCHOOL CHOUEIFAT697051,INTERNATIONAL SCHOOL CHOUEIFAT,n/a ,UNITED ARAB EMIRATES,3.61,3.71,
INTERNATIONAL SCHOOL CHOUEIFAT697052,INTERNATIONAL SCHOOL CHOUEIFAT,n/a ,UNITED ARAB EMIRATES,3.71,3.83,
INTERNATIONAL SCHOOL HCMC698010,INTERNATIONAL SCHOOL HCMC,n/a ,VIETNAM,3.91,3.98,
INTERNATIONAL SCHOOL HYDERABAD671634,INTERNATIONAL SCHOOL HYDERABAD,n/a ,INDIA,3.92,3.97,
INTERNATIONAL SCHOOL MANILA705720,INTERNATIONAL SCHOOL MANILA,n/a ,PHILIPPINES,4.01,3.97,4.06
INTERNATIONAL SCHOOL MYANMAR653060,INTERNATIONAL SCHOOL MYANMAR,n/a ,"MYANMAR, UNION OF (BURMA)",3.88,3.93,4.07
INTERNATIONAL SCHOOL OF BEIJING694515,INTERNATIONAL SCHOOL OF BEIJING,n/a ,"CHINA, PEOPLES REPUBLIC",3.97,4.06,4.06
INTERNATIONAL SCHOOL OF GENEVA796240,INTERNATIONAL SCHOOL OF GENEVA,n/a ,SWITZERLAND,3.87,3.99,3.86
INTERNATIONAL SCHOOL OF KENYA619590,INTERNATIONAL SCHOOL OF KENYA,n/a ,KENYA,3.79,3.86,
INTERNATIONAL SCHOOL YANGON653105,INTERNATIONAL SCHOOL YANGON,n/a ,"MYANMAR, UNION OF (BURMA)",4.03,3.98,
INTL CMTY SCH OF ADDIS ABABA560040,INTL CMTY SCH OF ADDIS ABABA,n/a ,ETHIOPIA,3.63,3.8,
IPEKA INTEGRATED CHRISTIAN SCH672140,IPEKA INTEGRATED CHRISTIAN SCH,n/a ,INDONESIA,3.89,3.92,
ITALY990034,ITALY,n/a ,,3.82,,
ITESM CAMPUS SANTA FE870106,ITESM CAMPUS SANTA FE,n/a ,MEXICO,3.92,4.13,
JAKARTA INTERNATIONAL SCHOOL672090,JAKARTA INTERNATIONAL SCHOOL,n/a ,INDONESIA,3.84,4.03,
JAMNABAI NARSEE INTERNATIONAL671122,JAMNABAI NARSEE INTERNATIONAL,n/a ,INDIA,3.71,3.83,
JAMNABAI NARSEE SCHOOL671741,JAMNABAI NARSEE SCHOOL,n/a ,INDIA,3.57,3.68,
JAPAN990036,JAPAN,n/a ,,3.58,3.91,4.07
JAYSHREE PERIWAL INTERNATIONAL671639,JAYSHREE PERIWAL INTERNATIONAL,n/a ,INDIA,4.13,,
JEDDAH KNOWLEDGE SCHOOL697026,JEDDAH KNOWLEDGE SCHOOL,n/a ,SAUDI ARABIA,4.07,4.03,
JIANGSU TIANYI HIGH SCHOOL694299,JIANGSU TIANYI HIGH SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.85,3.93,3.99
JIANGSU XISHAN SENIOR HIGH SCH694652,JIANGSU XISHAN SENIOR HIGH SCH,n/a ,"CHINA, PEOPLES REPUBLIC",3.68,3.82,
JIANGXI UNIVERSITY OF TECH HS694103,JIANGXI UNIVERSITY OF TECH HS,n/a ,"CHINA, PEOPLES REPUBLIC",3.61,3.61,
JIAXIANG FOREIGN LANGUAGE SCHL694605,JIAXIANG FOREIGN LANGUAGE SCHL,n/a ,"CHINA, PEOPLES REPUBLIC",3.79,3.87,
JINAN FOREIGN LANGUAGE SCHOOL694352,JINAN FOREIGN LANGUAGE SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.98,3.92,
JINAN THOMAS SCHOOL694108,JINAN THOMAS SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.56,3.67,
JINHUA FOREIGN LANGUAGE SCHOOL694470,JINHUA FOREIGN LANGUAGE SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.81,3.81,
JUMEIRAH ENGLISH SPEAKING SCHL697211,JUMEIRAH ENGLISH SPEAKING SCHL,n/a ,UNITED ARAB EMIRATES,4.06,,
K INTERNATIONAL SCH TOKYO680789,K INTERNATIONAL SCH TOKYO,n/a ,JAPAN,3.83,,
KADENA HIGH SCHOOL561650,KADENA HIGH SCHOOL,n/a ,APO/FPO/CPO USA,3.75,,
KANG CHIAO BILINGUAL SCHOOL694291,KANG CHIAO BILINGUAL SCHOOL,n/a ,TAIWAN,3.79,3.78,3.96
KANG CHIAO SCHOOL KUNSHAN694587,KANG CHIAO SCHOOL KUNSHAN,n/a ,"CHINA, PEOPLES REPUBLIC",3.64,3.77,3.92
KAOHSIUNG AMERICAN SCHOOL694251,KAOHSIUNG AMERICAN SCHOOL,n/a ,TAIWAN,3.97,3.96,3.84
KARACHI AMERICAN SCHOOL563020,KARACHI AMERICAN SCHOOL,n/a ,PAKISTAN,3.38,,
KARACHI GRAMMAR SCHOOL690140,KARACHI GRAMMAR SCHOOL,n/a ,PAKISTAN,3.76,3.76,4.11
KENYA990038,KENYA,n/a ,,3.61,,
KEYSTONE ACADEMY694627,KEYSTONE ACADEMY,n/a ,"CHINA, PEOPLES REPUBLIC",3.5,3.7,
KING FAISAL SCHOOL692127,KING FAISAL SCHOOL,n/a ,SAUDI ARABIA,3.84,4.07,
KING GEORGE V SCHOOL670530,KING GEORGE V SCHOOL,n/a ,HONG KONG,3.78,4.02,
KINGLEE HIGH SCHOOL694537,KINGLEE HIGH SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.81,3.81,
KINGS ACADEMY681069,KINGS ACADEMY,n/a ,JORDAN,3.91,3.89,
KINGS COLLEGE792484,KINGS COLLEGE,n/a ,SPAIN,3.84,,
KODAIKANAL INTERNATIONAL SCH671680,KODAIKANAL INTERNATIONAL SCH,n/a ,INDIA,3.8,,
KOLEJ YAYASAN UEM686302,KOLEJ YAYASAN UEM,n/a ,MALAYSIA,3.93,3.97,3.96
KOREA INTERNATIONAL SCHL JEJU682003,KOREA INTERNATIONAL SCHL JEJU,n/a ,"KOREA, REPUBLIC OF (SOUTH)",3.96,3.95,3.93
KOREA INTERNATIONAL SCHOOL682376,KOREA INTERNATIONAL SCHOOL,n/a ,"KOREA, REPUBLIC OF (SOUTH)",4.05,4.06,4.07
KOREA KENT FOREIGN SCHOOL682375,KOREA KENT FOREIGN SCHOOL,n/a ,"KOREA, REPUBLIC OF (SOUTH)",4.09,4.09,
"KOREA,REPUBLIC OF990039","KOREA,REPUBLIC OF",n/a ,,3.54,3.86,3.85
KOREAN MINJOK LEADERSHIP ACAD682010,KOREAN MINJOK LEADERSHIP ACAD,n/a ,"KOREA, REPUBLIC OF (SOUTH)",4,4.01,
KUBASAKI HIGH SCHOOL DOD561660,KUBASAKI HIGH SCHOOL DOD,n/a ,JAPAN,3.9,,
KUNMING NO 1 HS DIANCHI RESORT694087,KUNMING NO 1 HS DIANCHI RESORT,n/a ,"CHINA, PEOPLES REPUBLIC",3.54,,
KUWAIT990040,KUWAIT,n/a ,,3.78,3.76,
LA MARTINIERE FOR BOYS671078,LA MARTINIERE FOR BOYS,n/a ,INDIA,3.66,3.68,
LA MARTINIERE FOR GIRLS671851,LA MARTINIERE FOR GIRLS,n/a ,INDIA,3.35,,
LAHORE AMERICAN SCHOOL690300,LAHORE AMERICAN SCHOOL,n/a ,PAKISTAN,3.36,3.73,
LAHORE GRAMMAR SCHOOL DEFENCE690267,LAHORE GRAMMAR SCHOOL DEFENCE,n/a ,PAKISTAN,3.96,3.96,
LEBANON990041,LEBANON,n/a ,,3.82,3.93,
LEYSIN AMERICAN SCHOOL796570,LEYSIN AMERICAN SCHOOL,n/a ,SWITZERLAND,3.86,3.95,
LI PO CHUN UNITED WORLD COLL670880,LI PO CHUN UNITED WORLD COLL,n/a ,HONG KONG,3.77,3.84,
LIAONING PROVINCE SHIYAN HS694353,LIAONING PROVINCE SHIYAN HS,n/a ,"CHINA, PEOPLES REPUBLIC",3.82,3.86,
LILAVATIBAI PODAR HIGH SCHOOL671865,LILAVATIBAI PODAR HIGH SCHOOL,n/a ,INDIA,3.58,,
LINYI NO 4 HIGH SCHOOL SHANDON694634,LINYI NO 4 HIGH SCHOOL SHANDON,n/a ,"CHINA, PEOPLES REPUBLIC",3.97,3.98,3.96
LIYANG HIGH SCHOOL OF JIANGSU694393,LIYANG HIGH SCHOOL OF JIANGSU,n/a ,"CHINA, PEOPLES REPUBLIC",3.78,3.91,
LOGOS INTERNATIONAL SCHOOL655000,LOGOS INTERNATIONAL SCHOOL,n/a ,CAMBODIA,3.98,,
LORD BYNG SECONDARY SCHOOL821500,LORD BYNG SECONDARY SCHOOL,n/a ,CANADA,3.8,3.81,3.81
LYCEUM SCHOOL690150,LYCEUM SCHOOL,n/a ,PAKISTAN,3.74,3.82,
MAGEE SECONDARY SCHOOL821510,MAGEE SECONDARY SCHOOL,n/a ,CANADA,3.74,,
MAHINDRA UNITED WORLD COLLEGE671718,MAHINDRA UNITED WORLD COLLEGE,n/a ,INDIA,3.8,3.89,
MALAYSIA990046,MALAYSIA,n/a ,,3.65,3.82,
MALLYA ADITI INTERNATIONAL SCH671059,MALLYA ADITI INTERNATIONAL SCH,n/a ,INDIA,3.63,3.75,3.72
MANARAT AL RIYADH INTRNTL SCHL692131,MANARAT AL RIYADH INTRNTL SCHL,n/a ,SAUDI ARABIA,3.96,3.94,
MAPLE LEAF INTRNTL SCHL WUHAN694362,MAPLE LEAF INTRNTL SCHL WUHAN,n/a ,"CHINA, PEOPLES REPUBLIC",3.66,3.72,3.77
MARC GARNEAU COLLEGIATE INST826131,MARC GARNEAU COLLEGIATE INST,n/a ,CANADA,3.85,,
MAYO COLLEGE671045,MAYO COLLEGE,n/a ,INDIA,3.82,,
MEADOWRIDGE SCHOOL821183,MEADOWRIDGE SCHOOL,n/a ,CANADA,4.06,4.04,
MEICUN HIGH SCHOOL OF JIANGSU694524,MEICUN HIGH SCHOOL OF JIANGSU,n/a ,"CHINA, PEOPLES REPUBLIC",3.68,,
MENAUL SCHOOL QINGDAO694090,MENAUL SCHOOL QINGDAO,n/a ,"CHINA, PEOPLES REPUBLIC",3.89,3.97,3.95
MEXICO990048,MEXICO,n/a ,,3.72,3.89,3.91
MIDDLE SCHOOL ATTACHED SICHUAN694555,MIDDLE SCHOOL ATTACHED SICHUAN,n/a ,"CHINA, PEOPLES REPUBLIC",3.84,3.84,
MING-DAO HIGH SCHOOL694368,MING-DAO HIGH SCHOOL,n/a ,TAIWAN,3.2,3.58,
MODERN SCHOOL BARAKHAMBA ROAD671861,MODERN SCHOOL BARAKHAMBA ROAD,n/a ,INDIA,3.74,3.73,
MODERN SCHOOL VASANT VIHAR671860,MODERN SCHOOL VASANT VIHAR,n/a ,INDIA,3.73,3.81,
MOROCCO990049,MOROCCO,n/a ,,3.94,,
MORRISON ACADEMY KAOHSIUNG694289,MORRISON ACADEMY KAOHSIUNG,n/a ,TAIWAN,3.86,3.86,
MORRISON ACADEMY694200,MORRISON ACADEMY,n/a ,TAIWAN,3.83,3.88,4.03
MULGRAVE SCHOOL821755,MULGRAVE SCHOOL,n/a ,CANADA,4.13,4.22,
"MYANMAR, UNION OF (BURMA)990094","MYANMAR, UNION OF (BURMA)",n/a ,"MYANMAR, UNION OF (BURMA)",3.65,3.7,
NAGOYA INTERNATIONAL SCHOOL680330,NAGOYA INTERNATIONAL SCHOOL,n/a ,JAPAN,3.85,,
NAJD NATIONAL SCHOOLS692160,NAJD NATIONAL SCHOOLS,n/a ,SAUDI ARABIA,3.75,,
NAN TONG MIDDLE SCH OF JIANGSU694373,NAN TONG MIDDLE SCH OF JIANGSU,n/a ,"CHINA, PEOPLES REPUBLIC",3.74,3.77,
NANCHANG NO 3 MIDDLE SCHOOL694656,NANCHANG NO 3 MIDDLE SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.78,3.74,
NANJING DONGSHAN FOREIGN LANG694486,NANJING DONGSHAN FOREIGN LANG,n/a ,"CHINA, PEOPLES REPUBLIC",3.46,,
NANJING FOREIGN LANGUAGE SCH694268,NANJING FOREIGN LANGUAGE SCH,n/a ,"CHINA, PEOPLES REPUBLIC",3.71,3.87,
NANJING FORGN LNG SCH-XIANLIN694402,NANJING FORGN LNG SCH-XIANLIN,n/a ,"CHINA, PEOPLES REPUBLIC",3.76,3.78,3.82
NANJING JINLING HIGH SCHOOL694276,NANJING JINLING HIGH SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",4.06,4.08,4.1
NANJING NO 1 HIGH SCHOOL694485,NANJING NO 1 HIGH SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.9,3.94,4.07
NANNING NO 2 HIGH SCHOOL694538,NANNING NO 2 HIGH SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.84,,
NATIONAL EXPERIMENTAL HS694246,NATIONAL EXPERIMENTAL HS,n/a ,TAIWAN,4.18,4.21,4.25
NATIONAL JUNIOR COLLEGE687215,NATIONAL JUNIOR COLLEGE,n/a ,SINGAPORE,3.55,,
NATIONAL PUB SCHL- KORAMANGALA671720,NATIONAL PUB SCHL- KORAMANGALA,n/a ,INDIA,3.85,,
NATIONAL PUBLIC SCHOOL - INDIR671115,NATIONAL PUBLIC SCHOOL - INDIR,n/a ,INDIA,3.68,3.67,
NATIONAL PUBLIC SCHOOL671222,NATIONAL PUBLIC SCHOOL,n/a ,INDIA,3.79,3.81,
NATIONAL-HIGH JAKARTA SCHOOL672194,NATIONAL-HIGH JAKARTA SCHOOL,n/a ,INDONESIA,3.77,,
NETHERLANDS990051,NETHERLANDS,n/a ,,3.08,,
NEW INTERNATIONAL SCH THAILAND695270,NEW INTERNATIONAL SCH THAILAND,n/a ,THAILAND,3.81,3.93,
NEW MILLENNIUM SCHOOL DPS654016,NEW MILLENNIUM SCHOOL DPS,n/a ,BAHRAIN,4,,
NEW ORIENTAL ACADEMY694547,NEW ORIENTAL ACADEMY,n/a ,"CHINA, PEOPLES REPUBLIC",3.58,3.71,
NEW ZEALAND990052,NEW ZEALAND,n/a ,,3.39,,
NIGERIA990053,NIGERIA,n/a ,,3.31,,
NINGBO BINHAI INTERNATIONAL694631,NINGBO BINHAI INTERNATIONAL,n/a ,"CHINA, PEOPLES REPUBLIC",3.94,3.95,
NINGBO FOREIGN LANGUAGE SCHL694416,NINGBO FOREIGN LANGUAGE SCHL,n/a ,"CHINA, PEOPLES REPUBLIC",3.22,,
NINGBO KENT SCHOOL - BARSTOW694662,NINGBO KENT SCHOOL - BARSTOW,n/a ,"CHINA, PEOPLES REPUBLIC",3.86,3.87,3.9
NINGBO XIAOSHI HIGH SCHOOL694563,NINGBO XIAOSHI HIGH SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.49,,
NIXOR COLLEGE690257,NIXOR COLLEGE,n/a ,PAKISTAN,3.82,3.84,
NO 1 HS GUI YANG ST MARYS PROG694051,NO 1 HS GUI YANG ST MARYS PROG,n/a ,"CHINA, PEOPLES REPUBLIC",3.75,,
NO 1 MIDDLE-CENTRAL CHINA NORM694454,NO 1 MIDDLE-CENTRAL CHINA NORM,n/a ,"CHINA, PEOPLES REPUBLIC",4,4,
NO 2 HS EAST CHINA NORMAL UNIV694248,NO 2 HS EAST CHINA NORMAL UNIV,n/a ,"CHINA, PEOPLES REPUBLIC",3.9,3.93,3.98
NO 2 MIDDLE SCHOOL HANGZHOU694339,NO 2 MIDDLE SCHOOL HANGZHOU,n/a ,"CHINA, PEOPLES REPUBLIC",3.81,3.89,
NO 3 HIGH SCHL NANNING GUANGXI694583,NO 3 HIGH SCHL NANNING GUANGXI,n/a ,"CHINA, PEOPLES REPUBLIC",3.74,,
NOBLE HILLS ACADEMY694138,NOBLE HILLS ACADEMY,n/a ,"CHINA, PEOPLES REPUBLIC",3.74,,
NORTH CROSS SCHOOL SHANGHAI694548,NORTH CROSS SCHOOL SHANGHAI,n/a ,"CHINA, PEOPLES REPUBLIC",3.68,3.86,3.91
NORTH LONDON COLLEGIATE JEJU682194,NORTH LONDON COLLEGIATE JEJU,n/a ,"KOREA, REPUBLIC OF (SOUTH)",4.12,4.17,4.17
NORTHEAST YUCAI FRGN LANG SCH694263,NORTHEAST YUCAI FRGN LANG SCH,n/a ,"CHINA, PEOPLES REPUBLIC",3.97,3.96,
NORTHEAST YUCAI SCHOOL694312,NORTHEAST YUCAI SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.96,3.95,
NPS INTERNATIONAL SCHOOL687235,NPS INTERNATIONAL SCHOOL,n/a ,SINGAPORE,3.59,3.49,
NUS HIGH SCHOOL MATH SCIENCE687221,NUS HIGH SCHOOL MATH SCIENCE,n/a ,SINGAPORE,3.81,,
OAKRIDGE INT SCH NEWTON CAMPUS671040,OAKRIDGE INT SCH NEWTON CAMPUS,n/a ,INDIA,3.66,3.96,
OAKVILLE TRAFALGAR HIGH SCHOOL826399,OAKVILLE TRAFALGAR HIGH SCHOOL,n/a ,CANADA,4.03,4.03,
OBEROI INTERNATIONAL SCHOOL671665,OBEROI INTERNATIONAL SCHOOL,n/a ,INDIA,3.87,3.96,4.07
OMAN971868,OMAN,n/a ,,3.64,,
OSAKA INTERNATIONAL SCHOOL680141,OSAKA INTERNATIONAL SCHOOL,n/a ,JAPAN,3.35,,
OTHER CALIF INSTITUTION989340,OTHER CALIF INSTITUTION,Unknown,,3.86,4.08,4.09
OVERSEAS FAMILY SCHOOL687217,OVERSEAS FAMILY SCHOOL,n/a ,SINGAPORE,3.72,3.78,
PACE JR SCI COLLEGE ANDHERI671690,PACE JR SCI COLLEGE ANDHERI,n/a ,INDIA,4,,
PACIFIC ACADEMY821362,PACIFIC ACADEMY,n/a ,CANADA,3.86,,
PACIFIC AMERICAN SCHOOL694225,PACIFIC AMERICAN SCHOOL,n/a ,TAIWAN,4.11,4.1,4.1
PAKISTAN990055,PAKISTAN,n/a ,,3.61,3.81,
PATHWAYS SCHOOL NOIDA671610,PATHWAYS SCHOOL NOIDA,n/a ,INDIA,3.66,3.79,
PATHWAYS SCHOOL-GURGAON671082,PATHWAYS SCHOOL-GURGAON,n/a ,INDIA,3.82,3.94,
PATHWAYS WORLD SCHOOL671626,PATHWAYS WORLD SCHOOL,n/a ,INDIA,3.8,3.97,
PEARSON COLLEGE UWC821643,PEARSON COLLEGE UWC,n/a ,CANADA,4.12,,
