Calculation1,School,City,County/State/Country,App GPA,Adm GPA,Enrl GPA
ASIA PACIFIC INTERNATIONAL SCH682222,ASIA PACIFIC INTERNATIONAL SCH,n/a ,"KOREA, REPUBLIC OF (SOUTH)",3.98,3.95,
ATENEO DE MANILA HIGH SCHOOL705440,ATENEO DE MANILA HIGH SCHOOL,n/a ,PHILIPPINES,3.27,3.42,
ATTACHED MIDDLE SCH JIANGXI U694449,ATTACHED MIDDLE SCH JIANGXI U,n/a ,"CHINA, PEOPLES REPUBLIC",3.84,3.84,4.07
AUCKLAND INTERNATIONAL COLLEGE703078,AUCKLAND INTERNATIONAL COLLEGE,n/a ,NEW ZEALAND,3.91,,
AUSTRALIA990002,AUSTRALIA,n/a ,,3.6,3.88,
B D SOMANI INTERNATIONAL SCH671663,B D SOMANI INTERNATIONAL SCH,n/a ,INDIA,3.78,3.82,
BAHRAIN BAYAN SCHOOL654166,BAHRAIN BAYAN SCHOOL,n/a ,BAHRAIN,3.9,3.9,
BALBOA ACADEMY880000,BALBOA ACADEMY,n/a ,PANAMA,3.92,,
BANDUNG ALLIANCE INTERCULTURAL672180,BANDUNG ALLIANCE INTERCULTURAL,n/a ,INDONESIA,4.14,4.14,
BANGALORE INTERNATIONAL SCHOOL671051,BANGALORE INTERNATIONAL SCHOOL,n/a ,INDIA,3.73,,
BANGKOK PATANA SCHOOL695190,BANGKOK PATANA SCHOOL,n/a ,THAILAND,3.18,,
BANGLADESH990004,BANGLADESH,n/a ,,3.61,3.65,
BASHU SEC SCH JOHN CARROLL PRO694088,BASHU SEC SCH JOHN CARROLL PRO,n/a ,"CHINA, PEOPLES REPUBLIC",4.06,4.06,
BASIS INTRNTL SCHOOL SHENZHEN694626,BASIS INTRNTL SCHOOL SHENZHEN,n/a ,"CHINA, PEOPLES REPUBLIC",3.95,3.98,
BAYVIEW SECONDARY SCHOOL826578,BAYVIEW SECONDARY SCHOOL,n/a ,CANADA,4.29,4.24,
BEACON ACADEMY705567,BEACON ACADEMY,n/a ,PHILIPPINES,3.61,,
BEANSTALK INTRNTL BILINGUAL694395,BEANSTALK INTRNTL BILINGUAL,n/a ,"CHINA, PEOPLES REPUBLIC",3.82,,
BEIJING ACADEMY - DONGBA CAMPUS694057,BEIJING ACADEMY - DONGBA CAMPUS,n/a ,"CHINA, PEOPLES REPUBLIC",3.87,3.87,
BEIJING AIDI SCHOOL694522,BEIJING AIDI SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.73,3.78,3.94
BEIJING BAYI HIGH SCHOOL694504,BEIJING BAYI HIGH SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.61,3.64,3.41
BEIJING CITY INTERNATIONAL SCH694234,BEIJING CITY INTERNATIONAL SCH,n/a ,"CHINA, PEOPLES REPUBLIC",4.09,4.13,
BEIJING ETOWN ACADEMY694080,BEIJING ETOWN ACADEMY,n/a ,"CHINA, PEOPLES REPUBLIC",3.5,3.58,
